iter,loss,rmse
266,1.2523,0.7961
267,1.2521,0.7865
268,1.2519,0.8026
269,1.2516,0.7992
270,1.2514,0.7921
271,1.2512,0.7912
272,1.2510,0.7939
273,1.2507,0.7941
274,1.2505,0.7915
275,1.2503,0.7835
276,1.2501,0.7877
277,1.2499,0.7923
278,1.2497,0.8058
279,1.2495,0.8012
280,1.2493,0.7898
281,1.2491,0.7983
282,1.2489,0.7989
283,1.2487,0.8012
284,1.2486,0.8137
285,1.2484,0.7936
286,1.2482,0.7921
287,1.2480,0.7982
288,1.2478,0.7970
289,1.2476,0.7949
290,1.2474,0.7946
291,1.2472,0.7902
292,1.2470,0.7878
293,1.2468,0.7876
294,1.2466,0.7885
295,1.2464,0.7863
296,1.2462,0.7842
297,1.2460,0.7922
298,1.2458,0.7965
299,1.2456,0.7866
300,1.2454,0.7984
301,1.2453,0.7989
302,1.2450,0.7811
303,1.2449,0.7916
304,1.2447,0.7904
305,1.2445,0.7890
306,1.2443,0.7889
307,1.2441,0.7840
308,1.2439,0.7888
309,1.2437,0.7889
310,1.2436,0.7823
311,1.2434,0.7801
312,1.2432,0.7821
313,1.2430,0.7906
314,1.2428,0.7877
315,1.2427,0.8010
316,1.2425,0.7941
317,1.2423,0.7819
318,1.2421,0.7797
319,1.2419,0.7750
320,1.2417,0.7885
321,1.2416,0.7905
322,1.2414,0.7961
323,1.2412,0.7885
324,1.2411,0.7829
325,1.2409,0.7839
326,1.2407,0.7849
327,1.2405,0.7756
328,1.2403,0.7872
329,1.2402,0.7856
330,1.2400,0.7859
331,1.2398,0.7858
332,1.2397,0.7860
333,1.2395,0.7883
334,1.2393,0.7753
335,1.2391,0.7807
336,1.2390,0.7799
337,1.2388,0.7809
338,1.2386,0.7867
339,1.2384,0.7795
340,1.2383,0.7700
341,1.2381,0.7743
342,1.2379,0.7660
343,1.2377,0.7822
344,1.2376,0.7880
345,1.2374,0.7797
346,1.2372,0.7750
347,1.2371,0.7827
348,1.2369,0.7737
349,1.2367,0.7721
350,1.2365,0.7736
351,1.2363,0.7712
352,1.2362,0.7806
353,1.2360,0.7691
354,1.2358,0.7726
355,1.2357,0.7851
356,1.2355,0.7748
357,1.2353,0.7725
358,1.2352,0.7764
359,1.2350,0.7755
360,1.2348,0.7701
361,1.2347,0.7680
362,1.2345,0.7599
363,1.2343,0.7735
364,1.2342,0.7746
365,1.2340,0.7665
366,1.2338,0.7723
367,1.2337,0.7772
368,1.2335,0.7730
369,1.2334,0.7715
370,1.2332,0.7795
371,1.2331,0.7698
372,1.2329,0.7767
373,1.2328,0.7771
374,1.2326,0.7742
375,1.2324,0.7733
376,1.2323,0.7854
377,1.2322,0.7707
378,1.2320,0.7714
379,1.2318,0.7738
380,1.2317,0.7695
381,1.2315,0.7718
382,1.2314,0.7723
383,1.2312,0.7745
384,1.2311,0.7756
385,1.2309,0.7762
386,1.2308,0.7674
387,1.2306,0.7624
388,1.2305,0.7634
389,1.2303,0.7759
390,1.2302,0.7717
391,1.2301,0.7772
392,1.2299,0.7664
393,1.2298,0.7746
394,1.2296,0.7701
395,1.2295,0.7643
396,1.2293,0.7658
397,1.2292,0.7675
398,1.2290,0.7617
399,1.2289,0.7724
400,1.2287,0.7639
401,1.2286,0.7771
402,1.2284,0.7718
403,1.2283,0.7677
404,1.2281,0.7600
405,1.2280,0.7702
406,1.2278,0.7642
407,1.2277,0.7617
408,1.2275,0.7644
409,1.2274,0.7706
